name,description,implementation,use_cases,do_examples,dont_examples
Glassmorphism,Frosted glass effect with blur and transparency. Creates depth and modern feel.,background: rgba(255 255 255 / 0.1); backdrop-filter: blur(16px); border: 1px solid rgba(255 255 255 / 0.2); border-radius: 16px;,SaaS dashboards fintech hero cards dark mode UIs,Use on dark or gradient backgrounds where blur shows. Add subtle border for definition.,Use on white backgrounds — blur has no effect. Avoid on performance-critical mobile views.
Neumorphism,Soft extruded UI that looks pushed or pressed into the background surface.,box-shadow: 8px 8px 16px #d1d9e6 -8px -8px 16px #ffffff; border-radius: 12px; background: #e8edf2;,Calculator apps settings panels wellness apps,Keep background and element colors identical. Works only on light mid-tone backgrounds.,Never use on dark backgrounds. Avoid for text-heavy interfaces — poor accessibility.
Flat Design,Clean minimal design with no shadows depth or gradients. Pure color and shape.,No box-shadow. Solid fills only. 2px border for definition. Clean icons. Generous whitespace.,Marketing sites product landing pages mobile apps,Use bold typography and strong color contrast to add hierarchy without depth.,Don't remove all visual cues — flat can become invisible. Add hover states for interactivity.
Brutalism,Raw intentional ugly-beautiful aesthetic with stark contrast harsh fonts visible structure.,font-family: monospace or Impact. border: 3px solid black. No border-radius. High contrast colors.,Creative portfolios art fashion controversial brands,Commit fully — half-brutalism looks like a mistake. Use for brand differentiation.,Never use in healthcare finance or any trust-sensitive industry.
Skeuomorphism,Design that mimics real-world objects textures and materials.,background-image: url('texture.png'); box-shadow: inset 0 1px 3px rgba(0 0 0 0.3); border-radius: 4px;,Game UIs audio apps nostalgia products leather/wood brands,Use sparingly for specific interactive components like toggles or dials.,Avoid full skeuomorphic layouts in 2024 — looks dated outside intentional retro contexts.
Minimalism,Maximum whitespace minimum elements. Every element earns its place.,padding: 80px 5%. Single font family. 60/30/10 color rule. No decorative elements.,Luxury brands portfolios editorial journalism premium SaaS,Remove until it breaks then add one thing back. Use one bold typographic choice.,Don't confuse minimal with empty — content still needs clear hierarchy.
Dark Mode,Dark backgrounds that reduce eye strain and create premium feel.,background: #0F172A; color: #F8FAFC; border-color: #1E293B; shadow: 0 4px 24px rgba(0 0 0 0.4);,Developer tools gaming fintech crypto dashboards night apps,Use true dark (#0F172A not #000000). Add subtle surface elevation via lighter backgrounds.,Don't just invert a light design. Avoid pure black — causes halation on OLED screens.
Micro-interactions,Small delightful animations that respond to user actions and provide feedback.,transition: all 0.2s ease; transform: scale(1.02) on hover. Loading spinners. Success checkmarks.,Any product that wants to feel polished and thoughtful,Keep under 300ms for hover. Under 500ms for page transitions. Add easing curves.,Never animate on scroll if it causes content to jump or shift layout unexpectedly.
Card-based Layout,Content organized in contained rectangular units with consistent spacing.,display: grid; grid-template-columns: repeat(auto-fill minmax(280px 1fr)); gap: 24px;,Dashboards e-commerce news feeds social platforms,Add hover state. Include clear hierarchy: image → headline → meta → CTA.,Avoid cards without visual hierarchy — every card looking the same creates decision paralysis.
Hero + Centered CTA,Full-width hero with centered headline and single primary CTA above fold.,height: 100vh or min-height: 600px. Headline + subtext + 1 primary + 1 secondary CTA. Background image or gradient.,Landing pages SaaS homepages product launches,One primary CTA only. Write headline as outcome not feature. Add social proof below hero.,Never put form fields in hero for cold traffic. Avoid stock hero imagery.
Asymmetric Grid,Off-grid intentional layouts that break from symmetry to create visual tension and interest.,CSS Grid with named areas. Mix 4-col and 8-col within same page. Intentional overlap.,Creative agencies portfolios fashion luxury editorial,Works best with strong typography to anchor the asymmetry.,Looks broken without design intent. Don't use for data-heavy UIs where scanability matters.
Bento Grid,Mosaic of varied card sizes inspired by Mac marketing. Creates visual interest from mixed content.,display: grid; grid-template-columns: repeat(4 1fr); Mixed span-2 span-3 cards. Consistent gap.,Product feature sections marketing pages app showcases,Mix card sizes intentionally — vary 1x1 1x2 2x1 2x2. Keep gap consistent (16-24px).,Avoid odd numbers of items — asymmetry needs to feel intentional not accidental.
