pattern_name,section_order,cta_placement,color_strategy,effects,conversion_tips
SaaS Hero + Features,Nav > Hero > Logo Bar > Features > How It Works > Testimonials > Pricing > FAQ > CTA Footer,Above fold + after pricing + sticky nav CTA,Primary blue hero. White features section. Light gray pricing. Dark CTA footer.,Fade-up on scroll. Counter animations on stats. Glassmorphism feature cards.,Lead with outcome not feature in headline. Add logo bar of recognizable clients early. Price anchor high then show value.
E-commerce Product Page,Nav > Hero Image Carousel > Trust Bar > Product Grid > Social Proof > Category Browse > Email Capture > Footer,Sticky Add to Cart + after social proof,White background. Product photography drives color. Brand accent for CTA.,Product image zoom on hover. Smooth cart slide-in. Quick view modal.,Show stock scarcity only when real. Put reviews directly below product not below fold. Free shipping threshold nudges AOV.
Lead Generation Landing,Headline > Sub-headline > Hero Image > 3 Benefits > Form > Testimonials > FAQ > Second CTA,Above fold form + after testimonials,Single accent color for CTA. Everything else neutral to focus attention.,Minimal animation — forms need focus not distraction. Confetti on submit.,One goal one CTA. Remove nav to eliminate exit paths. Show form fields count upfront. Social proof near form not at bottom.
B2B Sales Page,Nav > Problem Agitation > Solution Hero > Features > ROI Calculator > Case Studies > Integration Logos > Pricing > Book Demo CTA,After problem. After case study. Sticky demo CTA.,Navy or dark trust hero. White content sections. Teal or green for ROI numbers.,Smooth scroll. Animated ROI calculator. Case study expand cards.,Lead with pain not product. Show company logos (social proof) before features. ROI calculator increases intent before pricing.
Portfolio / Creative,Nav > Full-screen Name Hero > Selected Work Grid > About > Process > Testimonials > Contact,Work thumbnails with hover CTA. Contact form at bottom.,Black or dark neutral hero. White work sections. One bold accent.,Cursor follower. Image reveal on scroll. Smooth page transitions.,Curate ruthlessly — show 6 great pieces not 20 average ones. Process section builds trust. Show client names when possible.
Restaurant / Food,Nav > Hero Food Video > Reservations CTA > Menu Preview > Story / About > Gallery > Reviews > Location + Hours,Reservation button pinned top + hero CTA + after gallery,Warm food colors from photography. Dark background sections for atmosphere.,Food photography parallax. Smooth menu tabs. Map embed.,Real food photography converts better than stock. Reservation CTA must be one click. Show hours prominently — basic but often missing.
App Download Page,Nav > Phone Mockup Hero > App Store Buttons > Feature Highlights > Social Proof Screenshots > Pricing > App Store CTAs,App store buttons in hero + after features + footer,App brand colors. Clean white sections. High contrast CTAs.,App mockup device animation. Feature screenshot scroll carousel. Rating stars animation.,Show actual app screenshots not generic mockups. Rating count builds trust. Testimonials from real reviews not made-up.
Nonprofit / Fundraising,Nav > Impact Statement Hero > Donation Form / CTA > Story / Problem > Impact Numbers > Donor Social Proof > FAQ > Recurring Donation CTA,Donation form above fold + after impact story,Warm empathetic colors. Not corporate blue. Earthy greens or warm oranges.,Emotional photo storytelling. Animated impact counters.,Lead with specific human story not statistics. Show exactly where money goes. Recurring donation upsell after one-time gift. Progress bar to goal.
Event / Conference,Nav > Hero with Date + Location > Registration CTA > Speaker Lineup > Agenda Preview > Venue + Travel > Sponsors > FAQ > Ticket CTA,Registration CTA immediately after hero + after agenda + sticky,Bold event brand colors. Dark sections for agenda. Light sections for speakers.,Countdown timer. Speaker hover cards. Schedule accordion.,Countdown creates urgency. Speaker photos build credibility. Early bird pricing if applicable. Make location/travel easy to find.
Consulting / Agency,Nav > Bold Problem Statement Hero > Trusted By Logos > Services > Process > Case Studies > Team > CTA / Discovery Call,Discovery call CTA after logos + after case studies + footer,Dark navy trust hero. White service sections. Accent for CTA buttons.,Hover case study reveals. Team card flip. Smooth section transitions.,Lead with specific industry outcome. Show logos before services. Make case studies the longest section. Discovery call reduces friction vs contact form.
SaaS Pricing Page,Nav > Plan Comparison Table > Toggle Monthly/Annual > Feature Checklist > FAQ > Enterprise CTA > Testimonials,Start trial on each plan + enterprise contact + page-bottom CTA,White background. Highlight recommended plan with primary color. Green for included features.,Annual/monthly toggle animation. Tooltip feature explanations. Highlight plan on hover.,Anchor with highest plan first. Highlight middle/recommended. Show savings on annual. Feature checklist builds perceived value. FAQ reduces churn triggers.
Waitlist / Launch,Minimal Nav > Bold Coming Soon Hero > Value Proposition > Email Capture Form > Social Proof / Early Adopter Count > Share Incentive,Email form as primary CTA — above fold and only CTA,Dark or bold brand color hero. Minimal white content below.,Subtle particle or gradient animation. Counter of signups.,One goal: capture email. Show signup count as social proof. Incentivize sharing. Don't over-explain unbuilt product.
