name,category,heading_font,body_font,mood,best_for,google_fonts_url
Classic Elegant,Serif + Sans,Playfair Display,Inter,luxury elegant refined,luxury fashion spa editorial,https://fonts.google.com/share?selection.family=Playfair+Display|Inter
Tech Startup,Sans + Sans,Space Grotesk,DM Sans,modern innovative clean,tech companies startups SaaS,https://fonts.google.com/share?selection.family=Space+Grotesk|DM+Sans
Developer Mono,Mono + Sans,JetBrains Mono,IBM Plex Sans,technical precise focused,developer tools code editors,https://fonts.google.com/share?selection.family=JetBrains+Mono|IBM+Plex+Sans
Editorial Bold,Display + Serif,Fraunces,Lora,editorial bold literary,news media publishing blogs,https://fonts.google.com/share?selection.family=Fraunces|Lora
Corporate Clean,Sans + Sans,Inter,Inter,professional neutral trustworthy,B2B SaaS corporate enterprise,https://fonts.google.com/share?selection.family=Inter
Warm Humanist,Sans + Serif,Nunito,Merriweather,friendly approachable warm,health wellness education nonprofits,https://fonts.google.com/share?selection.family=Nunito|Merriweather
Geometric Modern,Sans + Sans,Plus Jakarta Sans,Outfit,bold geometric contemporary,marketing agencies creative studios,https://fonts.google.com/share?selection.family=Plus+Jakarta+Sans|Outfit
Minimal Swiss,Sans + Sans,Helvetica Neue,Inter,minimal precise systematic,architecture portfolio design studios,https://fonts.google.com/share?selection.family=Inter
Dynamic Sport,Display + Sans,Barlow Condensed,Barlow,energetic powerful athletic,fitness sports gaming entertainment,https://fonts.google.com/share?selection.family=Barlow+Condensed|Barlow
Trustworthy Finance,Serif + Sans,Source Serif 4,Source Sans 3,reliable credible established,fintech banking legal insurance,https://fonts.google.com/share?selection.family=Source+Serif+4|Source+Sans+3
Playful Creative,Display + Rounded,Fredoka One,Nunito,playful fun joyful,children apps consumer games e-learning,https://fonts.google.com/share?selection.family=Fredoka+One|Nunito
Dark Mode Tech,Mono + Sans,Fira Code,Fira Sans,dark technical immersive,cybersecurity developer tools APIs dashboards,https://fonts.google.com/share?selection.family=Fira+Code|Fira+Sans
Artisan Handmade,Serif + Script,Cormorant Garamond,Jost,artisan crafted personal,boutique food photography personal brand,https://fonts.google.com/share?selection.family=Cormorant+Garamond|Jost
Travel Adventure,Display + Sans,Montserrat,Open Sans,adventurous free inspiring,travel hospitality outdoor tourism,https://fonts.google.com/share?selection.family=Montserrat|Open+Sans
E-commerce Standard,Sans + Sans,Poppins,Lato,clean accessible approachable,e-commerce retail consumer apps,https://fonts.google.com/share?selection.family=Poppins|Lato
Real Estate Premium,Serif + Sans,Libre Baskerville,Raleway,premium authoritative sophisticated,real estate property investment,https://fonts.google.com/share?selection.family=Libre+Baskerville|Raleway
Healthcare Clinical,Sans + Sans,Rubik,Roboto,clear clinical accessible,healthcare medical telemedicine,https://fonts.google.com/share?selection.family=Rubik|Roboto
Creative Agency,Display + Sans,DM Serif Display,DM Sans,expressive creative energetic,creative agencies portfolios branding,https://fonts.google.com/share?selection.family=DM+Serif+Display|DM+Sans
Restaurant Upscale,Serif + Sans,Cormorant,Raleway,refined culinary sophisticated,fine dining restaurants food brands,https://fonts.google.com/share?selection.family=Cormorant|Raleway
Social Community,Sans + Sans,Nunito Sans,Inter,social friendly inclusive,social apps community platforms,https://fonts.google.com/share?selection.family=Nunito+Sans|Inter
