category,rule,do_pattern,do_code,dont_pattern,dont_code,severity
Navigation,Use sticky nav with scroll-triggered border,Add border-bottom on scroll for visual separation,nav.scrolled { border-bottom: 1px solid #E2E8F0; box-shadow: 0 1px 8px rgba(0 0 0 0.06); },Static nav disappears into content as user scrolls,nav { position: relative; },HIGH
Navigation,Keep nav items under 7,Use 5-6 nav items plus one CTA button,<nav><ul><!-- max 6 items --></ul><a class='cta'>Apply</a></nav>,Cramming 10+ items creates decision paralysis,<nav><ul><!-- 12 items... --></ul></nav>,MEDIUM
Navigation,Highlight active page in nav,Add visual indicator on current page link,.nav-link.active { color: var(--primary); border-bottom: 2px solid currentColor; },No visual indication of where user is,/* no active styles */,MEDIUM
Navigation,Mobile hamburger opens full overlay or drawer,Full-screen mobile menu or side drawer,.mobile-menu { position: fixed; inset: 0; z-index: 200; },Tiny dropdown that gets cut off,.dropdown { position: absolute; width: 200px; },HIGH
Typography,Use a clear 3-level type hierarchy,h1 > h2/h3 > body text with distinct size steps,h1 { font-size: clamp(2rem 5vw 4rem); } h2 { font-size: clamp(1.5rem 3vw 2.5rem); },Using same size for headings and body,h1 h2 h3 p { font-size: 1rem; },HIGH
Typography,Limit line length for readability,Max 65-75 characters per line,.prose { max-width: 65ch; },Full-width text across large monitors,.text { width: 100%; },MEDIUM
Typography,Use fluid typography with clamp(),Scale type with viewport without breakpoints,font-size: clamp(1rem 2.5vw 1.25rem);,Fixed pixel font sizes that break at mobile,font-size: 18px;,MEDIUM
Typography,Minimum 16px body text,Never go below 16px for body copy,body { font-size: 1rem; /* 16px */ },Small 12-13px body text strains eyes,body { font-size: 12px; },HIGH
Forms,Show validation inline not on submit,Validate as user types or on field blur,input.addEventListener('blur' () => validate(field));,Only show all errors after submit attempt,form.addEventListener('submit' () => validateAll());,HIGH
Forms,Label every input above the field,Persistent visible label above input,<label for='email'>Email</label><input id='email'>,Placeholder-only inputs — disappear on type,<input placeholder='Email address'>,HIGH
Forms,Show password strength indicator,Visual strength meter for password fields,<div class='strength-bar' data-strength='medium'>,No feedback on password requirements,<input type='password' placeholder='Password'>,MEDIUM
Forms,Use one column layout for forms,Single column form is faster to complete,<form class='single-col'>,Side-by-side fields slow completion on mobile,<div class='two-col-form'>,HIGH
Animation,Keep hover transitions under 200ms,Fast snappy hover response feels responsive,.card { transition: transform 0.15s ease; },Slow 500ms+ hover transitions feel sluggish,.card { transition: all 0.8s ease; },MEDIUM
Animation,Respect prefers-reduced-motion,Disable animations for users with motion sensitivity,@media (prefers-reduced-motion: reduce) { * { animation: none !important; transition: none !important; } },Ignoring accessibility for animation,/* no reduced motion support */,HIGH
Animation,Animate opacity and transform only,GPU-accelerated properties are smooth,.el { transition: opacity 0.3s transform 0.3s; transform: translateY(20px); },Animating width height or margin causes reflow,.el { transition: width 0.3s margin 0.3s; },MEDIUM
Accessibility,Minimum 4.5:1 contrast ratio for text,Check contrast with WebAIM contrast checker,color: #1E293B; background: #F8FAFC; /* ratio: 14:1 */,Light gray on white fails accessibility,color: #A0AEC0; background: #FFFFFF; /* ratio: 2.5:1 */,HIGH
Accessibility,All interactive elements keyboard focusable,Visible focus ring on all interactive elements,:focus-visible { outline: 2px solid #2563EB; outline-offset: 2px; },Removing focus ring entirely,* { outline: none; },HIGH
Accessibility,Images need descriptive alt text,Describe what image shows and its purpose,<img src='team.jpg' alt='Our team collaborating in the Bali office'>,Empty or missing alt on content images,<img src='team.jpg'>,HIGH
Accessibility,Use semantic HTML elements,Native elements have built-in accessibility,<nav> <main> <button> <h1>,Divs and spans for everything,<div class='nav'><div class='button' onclick='...'>,HIGH
Performance,Lazy load images below the fold,Only load images when needed,<img loading='lazy' src='image.jpg'>,Loading all images on page init,<img src='image.jpg'>,MEDIUM
Performance,Use next-gen image formats,WebP AVIF load significantly faster,<picture><source type='image/webp' srcset='img.webp'><img src='img.jpg'></picture>,Only serving JPEG/PNG at large sizes,<img src='large-photo.jpg'>,MEDIUM
Performance,Preload critical fonts,Prevent font flash on load,<link rel='preload' href='font.woff2' as='font' crossorigin>,Loading fonts without preload causes layout shift,<!-- no font preloading -->,MEDIUM
Buttons,One primary CTA per view,Single most important action stands out,<button class='btn-primary'>Start Free Trial</button><button class='btn-secondary'>Learn More</button>,Multiple equally styled CTAs create confusion,<button class='btn-primary'>Buy Now</button><button class='btn-primary'>Contact Us</button>,HIGH
Buttons,Minimum 44x44px touch target,Large enough to tap accurately on mobile,.btn { min-height: 44px; padding: 12px 24px; },Tiny buttons difficult to tap on mobile,.btn { height: 28px; padding: 4px 8px; },HIGH
Buttons,Use action verbs in button labels,Tell user exactly what happens on click,<button>Start Free Trial</button><button>Download Guide</button>,Vague button labels leave user uncertain,<button>Submit</button><button>Click Here</button>,HIGH
Spacing,Use consistent spacing scale,Base 8px grid for all spacing,margin: 8px 16px 24px 32px 48px 64px,Random pixel values create visual chaos,margin: 13px 22px 37px,MEDIUM
Spacing,More whitespace than you think you need,Breathing room improves readability,.section { padding: 96px 5%; },Cramped sections feel low quality,.section { padding: 20px; },MEDIUM
Loading,Show loading state for async actions,Visual feedback prevents duplicate clicks,<button disabled><spinner>Saving...</button>,No loading state confuses users whether action worked,<button onclick='save()'>Save</button>,HIGH
Loading,Skeleton screens over spinners,Skeleton feels faster than blank spinner,<div class='skeleton-card'></div>,Spinner on blank white feels slow,<div class='loading-spinner'></div>,LOW
